coarse number
89
number of 3 aggregates
35,27,27
vertex-1-
(    0.029312,    0.004530)
(    0.034310,    0.006073)
(    0.039153,   -0.001002)
(    0.040139,    0.006288)
(    0.034269,   -0.000929)
(    0.041795,    0.003958)
vertex-55-
(    0.022462,   -0.001362)
(    0.029676,    0.001625)
(    0.027612,   -0.002192)
(    0.022779,    0.002856)
(    0.025771,    0.003695)
vertex-56-
(   -0.090421,   -0.013389)
(   -0.096444,   -0.018910)
(   -0.089541,   -0.021546)
(   -0.093500,   -0.024000)
(   -0.087335,   -0.014925)
(   -0.087500,   -0.018500)
(   -0.093858,   -0.014030)
vertex-57-
(   -0.098135,    0.000543)
(   -0.092573,   -0.001098)
(   -0.091123,    0.003762)
(   -0.095638,    0.005094)
vertex-58-
(    0.050337,   -0.016713)
(    0.045483,   -0.012205)
(    0.043000,   -0.023500)
(    0.046574,   -0.023152)
(    0.040545,   -0.015616)
(    0.040545,   -0.020891)
vertex-59-
(   -0.119392,   -0.004222)
(   -0.127528,   -0.003030)
